Heterogeneity,Tasks,Algorithm,Makespan_Mean,Makespan_SD,Energy_Mean,Energy_SD,Cost_Mean,Cost_SD
HIGH,100,FCFS,74.3399,6.3809,16.4126,1.3019,6100.1352,523.2572
HIGH,100,RoundRobin,84.5483,9.6525,18.1776,1.9637,6936.3445,791.5140
HIGH,100,MET,134.6246,8.0268,24.6355,1.4683,11031.6717,657.7473
HIGH,100,MCT,16.8267,1.0280,3.9875,0.2300,1381.5738,84.2868
HIGH,100,MinMin,18.1363,1.0155,4.1122,0.2531,1488.5402,83.3970
HIGH,100,MaxMin,15.0855,0.9422,4.5594,0.2427,1241.5604,77.2762
HIGH,100,Sufferage,16.8267,1.0280,3.9875,0.2300,1381.5738,84.2868
HIGH,100,PSO,16.9137,0.9950,3.9931,0.2309,1388.6741,81.5848
HIGH,100,GA,16.8504,1.0952,4.0019,0.2333,1383.5467,89.7683
HIGH,100,ACO,45.6446,7.0883,8.9638,1.3863,3742.1335,581.0888
HIGH,100,DQN_Ablation,15.0855,0.9422,4.5594,0.2427,1241.5604,77.2762
HIGH,100,Proposed_DQN,15.1149,0.8957,4.4786,0.2693,1243.7152,73.6382
