tasks,run,algorithm,makespan_s,throughput,arur,degree_of_imbalance,energy_kj,cost
500,1,FCFS,49.07375000,10.18874653,0.23728943,3.21414317,10.91684273,4027.10840943
500,1,RoundRobin,54.68250000,9.14369314,0.18706996,4.18524343,11.61532815,4485.72807195
500,1,MET,236.05450000,2.11815492,0.03983051,20.00000000,43.18997165,19343.22594246
500,1,MCT,20.68187500,24.17575776,0.62926913,0.49212238,6.22222122,1702.06787929
500,1,MinMin,20.63525000,24.23038248,0.60797200,0.61922356,6.12029959,1697.96707253
500,1,MaxMin,20.25575000,24.68434889,0.73593074,0.14823529,6.52612205,1668.29513740
500,1,Sufferage,20.68187500,24.17575776,0.62926913,0.49212238,6.22222122,1702.06787929
500,1,PSO,20.53791667,24.34521515,0.66700628,0.52473269,6.33391929,1690.68548494
500,1,GA,20.58958333,24.28412425,0.65789706,0.44586509,6.31234234,1694.82616243
500,1,ACO,193.02250000,2.59037159,0.04219797,18.86002901,35.40796900,15817.29029450
500,1,Proposed_DQN,20.24291667,24.69999794,0.73238095,0.14895378,6.50761573,1667.19504929
500,2,FCFS,49.29750000,10.14250216,0.23867862,3.26065117,10.98031439,4045.51095568
500,2,RoundRobin,46.92375000,10.65558486,0.23435804,3.31635817,10.41104784,3850.59177476
500,2,MET,235.85912500,2.11990950,0.04000000,20.00000000,43.16221988,19327.24013900
500,2,MCT,20.64875000,24.21454083,0.63007467,0.49149320,6.21558213,1699.35175265
500,2,MinMin,20.65220000,24.21049573,0.61018300,0.61697981,6.13445925,1699.38919675
500,2,MaxMin,20.18250000,24.77393782,0.76190476,0.10000000,6.60736607,1662.57668571
500,2,Sufferage,20.64875000,24.21454083,0.63007467,0.49149320,6.21558213,1699.35175265
500,2,PSO,20.81625000,24.01969615,0.59550280,0.52002681,6.12207078,1712.70488109
500,2,GA,20.74833333,24.09832115,0.60109407,0.48799905,6.12529835,1707.18648671
500,2,ACO,156.30237500,3.19892772,0.04260618,18.77661842,28.68480508,12808.28622835
500,2,Proposed_DQN,20.25150000,24.68952917,0.73593074,0.14823529,6.52475276,1667.94510078
500,3,FCFS,51.40875000,9.72597077,0.22509805,3.46440996,11.31093314,4218.34800568
500,3,RoundRobin,50.37062500,9.92642041,0.21534596,3.61996789,10.98428148,4132.86986630
500,3,MET,240.81862500,2.07625137,0.04000000,20.00000000,44.06980838,19733.64140700
500,3,MCT,21.19218750,23.59360024,0.62174400,0.49807866,6.34385588,1743.96966921
500,3,MinMin,20.98916667,23.82181284,0.61526448,0.57364139,6.25588193,1727.18086661
500,3,MaxMin,20.62000000,24.24830262,0.75584416,0.09621993,6.72560130,1698.54170390
500,3,Sufferage,21.19218750,23.59360024,0.62174400,0.49807866,6.34385588,1743.96966921
500,3,PSO,20.90250000,23.92058366,0.65675928,0.39153289,6.40351968,1720.56954654
500,3,GA,20.78562500,24.05508615,0.68539438,0.40248662,6.48675448,1711.30621031
500,3,ACO,166.80762500,2.99746489,0.04693318,17.04551058,30.75709680,13669.57792728
500,3,Proposed_DQN,20.57333333,24.30330525,0.75757576,0.09600000,6.71750505,1694.71898182
500,4,FCFS,52.66312500,9.49430935,0.22310867,3.49188484,11.56596678,4321.21295972
500,4,RoundRobin,59.03500000,8.46955196,0.17510473,4.39657093,12.39858655,4842.34958466
500,4,MET,243.82137500,2.05068157,0.04000000,20.00000000,44.61931163,19979.69875300
500,4,MCT,21.53250000,23.22071288,0.58374678,0.60461348,6.28209302,1771.48411657
500,4,MinMin,21.47066667,23.28758616,0.58930876,0.64105237,6.28793706,1766.46872452
500,4,MaxMin,20.95175000,23.86435501,0.75218521,0.13872624,6.81847553,1725.82311784
500,4,Sufferage,21.53250000,23.22071288,0.58374678,0.60461348,6.28209302,1771.48411657
500,4,PSO,21.49712500,23.25892416,0.60755714,0.55862061,6.37414322,1768.88091903
500,4,GA,21.53083333,23.22251035,0.58325729,0.72009387,6.27949892,1771.34067594
500,4,ACO,159.38750000,3.13700886,0.04317170,18.53065802,29.26901835,13061.15261755
500,4,Proposed_DQN,20.89875000,23.92487589,0.75930736,0.09578107,6.83099619,1721.54674481
500,5,FCFS,49.49125000,10.10279595,0.23535083,3.31024861,10.99053013,4061.31188414
500,5,RoundRobin,54.72750000,9.13617468,0.19931303,3.93016620,11.75889327,4489.82154231
500,5,MET,230.74600000,2.16688480,0.04000000,20.00000000,42.22651800,18908.25022400
500,5,MCT,20.75037500,24.09595007,0.64255216,0.45651288,6.29795527,1707.87063892
500,5,MinMin,20.88420000,23.94154433,0.60315268,0.66318200,6.17400724,1718.39148073
500,5,MaxMin,20.37766667,24.53666596,0.77922078,0.09333333,6.74183193,1678.86567411
500,5,Sufferage,20.75037500,24.09595007,0.64255216,0.45651288,6.29795527,1707.87063892
500,5,PSO,21.00625000,23.80243975,0.61311947,0.46794267,6.25196194,1728.55960457
500,5,GA,20.77833333,24.06352771,0.62477567,0.52018671,6.23256775,1709.95014490
500,5,ACO,157.20450000,3.18057053,0.04333877,18.45922189,28.87339748,12882.28046995
500,5,Proposed_DQN,20.44583333,24.45486040,0.75601732,0.09619789,6.66950164,1684.19710909
500,6,FCFS,51.92750000,9.62880940,0.22816048,3.41614185,11.45687319,4261.00948206
500,6,RoundRobin,54.61937500,9.15426074,0.18980280,4.13944240,11.63177266,4480.63934611
500,6,MET,236.25000000,2.11640212,0.04000000,20.00000000,43.23375000,19359.27000000
500,6,MCT,21.58125000,23.16825948,0.57089850,0.61822053,6.24085941,1775.32842197
500,6,MinMin,21.42468750,23.33756327,0.61748965,0.59225978,6.39522488,1763.04811370
500,6,MaxMin,21.05437500,23.74803337,0.74142669,0.08935825,6.80657074,1734.14056533
500,6,Sufferage,21.58125000,23.16825948,0.57089850,0.61822053,6.24085941,1775.32842197
500,6,PSO,21.51687500,23.23757516,0.57813290,0.61048450,6.25337579,1770.12616801
500,6,GA,21.42000000,23.34267040,0.59581442,0.56963029,6.30096897,1762.38380690
500,6,ACO,148.67412500,3.36305998,0.04455647,17.95474566,27.34285057,12183.35895609
500,6,Proposed_DQN,21.05950000,23.74225409,0.72832675,0.09096547,6.75305192,1734.39715826
500,7,FCFS,51.63562500,9.68323711,0.23868584,3.26164073,11.50117289,4237.38521555
500,7,RoundRobin,51.74437500,9.66288606,0.20404554,3.83428694,11.16690740,4245.23412533
500,7,MET,235.65287500,2.12176491,0.04000000,20.00000000,43.12447613,19310.33918900
500,7,MCT,21.24291667,23.53725752,0.61109206,0.50676067,6.31378596,1748.00855995
500,7,MinMin,21.22575000,23.55629365,0.61003052,0.59950162,6.30417733,1746.58245323
500,7,MaxMin,20.78525000,24.05552014,0.74904574,0.13930768,6.75123933,1712.06914174
500,7,Sufferage,21.32906250,23.44219302,0.59170085,0.54926404,6.25667080,1754.84905460
500,7,PSO,21.30625000,23.46729246,0.58433813,0.60400162,6.21860459,1752.87803252
500,7,GA,21.31000000,23.46316283,0.59404355,0.54709794,6.26106361,1753.31064084
500,7,ACO,176.38675000,2.83468004,0.04636376,17.25485652,32.50327178,14454.50933160
500,7,Proposed_DQN,20.78450000,24.05638817,0.75792208,0.09595613,6.78789379,1712.11805886
500,8,FCFS,51.07625000,9.78928563,0.25619319,2.97701945,11.55542121,4192.01763239
500,8,RoundRobin,51.74750000,9.66230253,0.20234159,3.86822446,11.14994683,4245.43760298
500,8,MET,232.72962500,2.14841579,0.04000000,20.00000000,42.58952138,19070.79639100
500,8,MCT,21.60250000,23.14546927,0.55517439,0.70102151,6.17906846,1776.87269288
500,8,MinMin,21.20950000,23.57434169,0.60620387,0.59176488,6.28311870,1745.19660861
500,8,MaxMin,20.70187500,24.15240165,0.76121212,0.09554140,6.77453176,1705.35271091
500,8,Sufferage,21.60250000,23.14546927,0.55517439,0.70102151,6.17906846,1776.87269288
500,8,PSO,21.21020833,23.57355440,0.61375621,0.59586246,6.31536589,1745.35100496
500,8,GA,21.24425000,23.53578027,0.61565354,0.55127424,6.33356331,1748.17641869
500,8,ACO,134.81587500,3.70876204,0.04633897,17.26408495,24.84222402,11047.86481767
500,8,Proposed_DQN,20.70066667,24.15381147,0.76277056,0.09534620,6.78058850,1705.27252883
500,9,FCFS,51.47812500,9.71286347,0.23453491,3.32403984,11.42335540,4224.33205059
500,9,RoundRobin,54.00562500,9.25829485,0.19369067,3.97986612,11.54306151,4430.41703141
500,9,MET,234.16850000,2.13521460,0.04000000,20.00000000,42.85283550,19188.70356400
500,9,MCT,21.15333333,23.63693665,0.61902851,0.57950507,6.32073662,1740.73777653
500,9,MinMin,21.18975000,23.59631426,0.59287893,0.60506478,6.22079751,1743.40209377
500,9,MaxMin,20.68925000,24.16713994,0.75982684,0.09571559,6.76466824,1704.29550847
500,9,Sufferage,21.15333333,23.63693665,0.61902851,0.57950507,6.32073662,1740.73777653
500,9,PSO,21.20666667,23.57749135,0.61905067,0.50024567,6.33676692,1745.12693409
500,9,GA,21.24562500,23.53425705,0.60905376,0.55724791,6.30592995,1748.20543672
500,9,ACO,100.56925000,4.97169861,0.07444219,10.74659363,19.09693786,8243.12491733
500,9,Proposed_DQN,20.64968750,24.21344149,0.77922078,0.09333333,6.83182843,1701.27679935
500,10,FCFS,51.05187500,9.79395958,0.22595830,3.38001434,11.24119711,4189.09095695
